,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,prim_key,date
170,57.3,53.5,981.1,7.9,1.7,6.0,69.1,53.1,0.51,0,1,0,0,0,0,722156_53873,2017-04-24
171,77.2,73.9,995.2,7.9,9.6,15.0,86.0,73.9,0.7,0,1,0,0,1,0,722255_93842,2017-10-08
172,57.9,54.8,985.2,4.3,2.1,8.0,66.9,44.1,0.02,1,1,0,0,0,0,723200_93801,2017-02-08
173,54.9,50.2,978.5,8.2,5.9,11.1,72.0,50.0,0.92,0,1,0,0,0,0,723200_93801,2017-05-05
174,80.0,72.7,1012.9,7.7,2.0,6.0,93.0,72.0,0.02,1,0,0,0,0,0,723160_13870,2017-08-10
175,75.6,73.7,1008.6,8.4,2.8,8.9,78.8,73.4,0.09,0,1,0,0,0,0,722250_13829,2017-06-20
176,69.8,65.8,990.7,5.5,0.6,5.1,84.9,64.0,0.0,1,0,0,0,0,0,722156_53873,2017-10-12
177,76.8,71.9,1003.2,9.2,4.3,9.9,90.0,73.0,0.01,0,1,0,0,0,0,722255_93842,2017-06-20
178,75.8,73.6,987.8,9.7,1.1,4.1,84.0,71.6,0.69,0,1,0,0,0,0,722156_53873,2017-06-24
179,63.5,60.5,1004.2,9.0,5.4,14.0,79.0,50.0,1.01,1,1,0,0,1,0,722166_93845,2017-02-08
180,82.2,75.2,1006.9,8.7,6.5,9.9,93.0,77.0,0.01,0,1,0,0,0,0,722160_13869,2017-10-09
181,51.8,49.9,989.8,5.4,3.5,6.0,55.9,42.1,0.72,1,1,0,0,0,0,722195_3888,2017-01-02
182,56.3,41.8,987.4,10.0,4.9,11.1,72.0,46.0,0.06,0,0,0,0,0,0,747808_63803,2017-10-17
183,62.6,56.4,961.8,8.6,5.1,13.0,77.0,50.0,0.06,1,1,0,0,0,0,722185_53838,2017-04-25
184,60.0,53.2,1014.3,8.2,3.1,11.1,78.8,46.4,0.0,1,0,0,0,0,0,722250_13829,2017-01-17
185,45.0,42.2,1015.0,9.0,4.4,12.0,63.3,37.2,1.5,0,1,0,0,0,0,747804_13824,2017-01-07
186,58.6,56.6,965.6,6.8,8.8,17.1,73.9,51.8,1.02,1,1,0,0,1,0,722185_53838,2017-04-23
187,67.0,57.6,1016.8,8.7,3.7,11.1,80.8,53.6,0.0,1,1,0,0,0,0,722090_3875,2017-03-27
188,78.0,73.9,986.2,7.2,1.1,6.0,89.1,71.6,1.41,1,1,0,0,1,0,723110_13873,2017-08-12
189,75.5,73.2,1005.4,8.6,4.5,9.9,80.1,72.0,0.28,0,1,0,0,1,0,722137_13878,2017-06-07
190,57.6,56.6,971.3,7.2,5.3,17.1,63.0,51.1,2.45,0,1,0,0,1,0,722197_53819,2017-01-22
191,71.9,71.5,967.6,6.3,7.6,13.0,78.1,68.0,0.09,0,1,0,0,0,0,722185_53838,2017-10-08
192,62.9,58.8,971.4,7.9,7.0,20.0,81.7,55.8,0.17,1,1,0,0,0,0,722270_13864,2017-04-23
